rfam_family	seq_count	noncanonical_count	canonical_count
RF01278	149	0	149
RF01279	183	0	183
RF01280	192	1	191
RF01281	211	1	210
RF01283	108	0	108
RF01284	390	0	390
RF01285	453	1	452
RF01286	211	0	211
RF01287	181	0	181
RF01288	199	0	199
RF01289	22	0	22
RF01290	112	0	112
RF01291	129	0	129
RF01292	304	1	303
RF01293	19	0	19
RF01294	67	0	67
RF01295	119	1	118
RF01296	203	3	200
RF01297	4	0	4
RF01298	8	0	8
RF01299	230	0	230
RF01300	98	0	98
RF01301	38	0	38
RF01302	370	0	370
RF01303	4	0	4
RF01304	26	0	26
RF01305	11	0	11
RF01306	3	0	3
RF01307	15	0	15
RF01308	16	0	16
RF01309	13	0	13
RF01310	12	0	12
RF01312	9	0	9
RF01313	14	0	14
RF01314	13	0	13
RF01315	9070	1	9069
RF01316	1327	0	1327
RF01317	10269	1	10268
RF01318	4690	6	4684
RF01319	622	0	622
RF01320	2410	0	2410
